Difficulty,Intelligence,Grade,SAT,Letter
Easy,High,A,High,Strong
Easy,Low,C,Low,Weak
Easy,Low,B,High,Weak
Hard,Medium,C,High,Weak
Easy,High,A,High,Strong
Easy,High,A,Medium,Strong
Easy,High,A,High,Strong
Easy,Medium,A,Low,Strong
Hard,High,A,High,Strong
Easy,Medium,A,High,Strong
Easy,High,A,High,Strong
Hard,Low,B,Low,Weak
Hard,Medium,B,High,Strong
Easy,Medium,B,Medium,Strong
Hard,Low,B,Medium,Strong
Easy,Medium,C,Medium,Weak
Hard,Medium,C,Low,Weak
Hard,Medium,B,Medium,Strong
Hard,Medium,C,High,Weak
Hard,Medium,C,Medium,Weak
Hard,Medium,A,High,Strong
Hard,High,B,High,Weak
Hard,Medium,A,Medium,Strong
Hard,High,C,High,Weak
Hard,Medium,B,High,Weak
Easy,Medium,A,Low,Strong
Hard,High,B,High,Strong
Easy,High,A,High,Strong
Easy,Medium,A,High,Strong
Hard,Medium,A,High,Strong
Hard,Low,C,Low,Weak
Hard,Low,C,Low,Weak
Easy,High,A,Low,Strong
Easy,High,A,High,Strong
Hard,Low,C,Low,Weak
Hard,Medium,C,Medium,Weak
Hard,Medium,A,Low,Strong
Easy,High,B,High,Weak
Easy,Medium,B,High,Strong
Hard,Medium,C,Medium,Weak
Easy,High,A,Medium,Strong
Easy,Medium,B,Medium,Strong
Hard,Medium,B,Medium,Strong
Hard,High,C,High,Weak
Easy,Low,C,Low,Weak
Hard,Medium,B,High,Strong
Easy,Medium,B,Medium,Weak
Easy,Medium,B,Medium,Strong
Hard,Medium,B,High,Strong
Easy,Medium,B,Low,Strong
Hard,Medium,C,Medium,Weak
Easy,Low,B,Low,Weak
Hard,High,C,Low,Weak
Easy,Medium,B,Medium,Strong
Hard,Medium,C,Medium,Strong
Hard,High,B,High,Weak
Easy,High,A,High,Strong
Easy,Low,C,High,Weak
Hard,High,C,High,Weak
Easy,Low,C,Low,Weak
Easy,Medium,A,Medium,Strong
Easy,High,B,High,Strong
Easy,Medium,B,Medium,Weak
Hard,High,B,High,Strong
Easy,Medium,A,Medium,Strong
Hard,Medium,C,Medium,Weak
Easy,High,A,High,Strong
Hard,High,A,Medium,Strong
Easy,Medium,B,High,Strong
Easy,Medium,A,Medium,Strong
Easy,Medium,B,Medium,Weak
Easy,High,C,High,Weak
Hard,Medium,C,Medium,Weak
Hard,High,C,High,Strong
Easy,Medium,B,Medium,Weak
Easy,High,B,High,Strong
Easy,High,B,High,Weak
Hard,High,A,Medium,Strong
Easy,Low,C,Low,Weak
Hard,Low,C,Low,Weak
Easy,Medium,A,Low,Strong
Easy,Low,B,Low,Strong
Easy,Medium,C,High,Weak
Hard,Medium,C,Low,Weak
Easy,High,A,High,Strong
Easy,High,B,High,Strong
Hard,Low,C,Low,Weak
Hard,Medium,A,Medium,Strong
Easy,Medium,A,Medium,Strong
Hard,Low,C,Medium,Weak
Easy,High,A,High,Strong
Easy,Medium,A,Medium,Strong
Easy,High,B,High,Strong
Hard,Medium,C,High,Weak
Hard,Medium,B,High,Strong
Hard,Medium,B,Medium,Strong
Hard,Medium,C,Low,Weak
Easy,Medium,A,Medium,Strong
Easy,High,A,Medium,Strong
Hard,High,B,High,Weak
Easy,High,A,High,Weak
Hard,High,C,High,Weak
Hard,High,C,High,Weak
